"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Staphylococcus",455,0,74,0,235,494,6454,446,0,0,0,140,303,39,107,582,83,4091,0,0,0,0,0,54,0,119,80,88,0,470,215,559,43,534,420,268,0,0,974,1211,1899,245,911,7299,4895,1354,240
"Acinetobacter",447,771,631,1235,1032,1222,1680,622,128,32,682,322,344,1130,1076,1976,296,858,382,54,15,165,7,19,113,162,99,14,187,167,48,762,12,310,167,90,29,687,5040,1538,4841,148,472,3164,2252,831,7570
"Unclassified_Alcaligenaceae",139,0,51,0,75,42,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,83,0,0,157,2069,366,4570,116,499,1491,31,89,15,102,7235,28,539,37,854,206,88,0
"Citrobacter",0,0,793,0,0,0,0,0,0,0,0,0,0,28,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,958,0,0,0,6,0,0,0,0,0
"Pseudomonas",12,18,1376,132,437,221,807,595,30,0,26,33,56,103,81,361,43,96,32,70,225,19,0,58,51,132,0,11,54,57,0,155,0,13,0,36,63,809,1919,1366,80,0,56,628,428,1052,432
"Unclassified_Bacillaceae",102,342,0,226,588,438,567,333,75,18,131,46,130,754,327,794,85,238,94,22,20,38,0,27,27,34,0,0,79,76,50,329,0,203,35,26,0,0,164,99,100,0,59,360,133,79,11
"Chryseobacterium",0,0,1685,60,0,11,93,20,0,3,0,0,23,105,0,314,39,0,7,0,0,0,0,3,13,12,0,0,51,0,0,0,0,22,0,46,28,6994,54,271,0,5,0,0,37,0,41
"Stenotrophomonas",0,11,4437,49,0,0,63,81,0,0,0,0,57,54,0,304,30,58,42,159,0,0,51,0,391,56,0,13,45,20,8,86,140,0,35,55,0,514,969,299,196,5,89,277,367,29,4517
"Sphingobacterium",0,0,4965,0,0,0,0,0,0,0,0,0,0,105,0,126,0,0,0,0,0,0,0,0,0,0,10,0,19,0,0,20,0,0,0,12,0,114,236,13,39,0,0,0,56,17,519
"Amnibacterium",18,43,132,0,0,171,954,245,0,85,148,78,89,0,642,695,98,2224,150,119,53,43,52,0,58,390,86,81,73,60,21,92,11,138,154,32,68,90,7,0,0,0,0,0,0,0,0
"Klebsiella",0,0,619,1060,100,0,96,0,30,28,380,0,0,0,0,219,0,0,104,0,77,47,0,0,112,412,196,66,0,0,0,0,18,0,0,0,0,0,0,226,74,0,0,0,126,0,0
"Curtobacterium",20,33,824,43,81,0,138,44,0,37,0,38,0,0,237,1328,74,967,146,0,0,25,0,0,42,21,0,0,0,38,41,20,0,14,0,0,0,0,0,0,0,0,0,43,22,21,0
"Micrococcus",0,25,7,88,253,39,62,166,485,0,23,14,445,69,30,287,0,229,0,0,0,11,0,11,21,8,0,0,17,21,18,49,0,0,11,0,0,0,53,14,21,0,90,334,100,32,0
"Unclassified_Bacteria",0,0,2145,0,0,0,51,60,0,0,0,0,29,0,0,61,0,0,0,0,0,60,0,0,0,0,0,0,0,32,0,0,0,117,75,52,0,0,36,0,0,0,0,0,0,0,0
"Brachybacterium",0,13,23,11,0,0,549,0,0,0,0,0,0,30,28,0,0,334,0,0,0,0,17,0,0,0,0,0,133,26,7,20,286,0,17,154,0,6,87,73,98,13,30,575,322,68,65
"Brevibacterium",21,0,0,57,0,42,559,0,0,0,0,50,0,0,15,200,0,104,0,0,0,0,0,0,5,0,0,0,128,4,0,0,517,0,58,335,18,0,68,40,115,24,63,175,203,0,34
"Luteibacter",0,0,93,0,174,0,120,0,0,12,0,0,0,0,92,0,8,0,35,184,18,17,33,50,0,10,0,0,158,0,227,0,10,0,143,43,403,0,0,353,0,0,0,0,0,0,0
"Bosea",12,0,158,0,6,0,18,28,0,0,0,35,0,0,0,0,35,1170,122,40,14,54,8,29,0,48,33,70,28,0,62,0,10,23,87,44,191,270,0,0,24,0,0,263,14,32,0
"Cellulomonas",0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,43,0,0,46,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,146,0,0,0,0,0,0
"Serratia",0,0,491,0,140,0,119,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,51,0,0,0,0,78,0,0,106
"Unclassified_Microbacteriaceae",7,0,0,172,15,261,505,49,0,65,0,84,0,0,96,214,27,331,93,10,34,0,0,26,17,152,0,0,32,53,14,132,0,0,0,117,99,0,0,0,32,0,0,0,20,0,0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0,38,126,0,131,38,160,45,0,0,0,62,34,37,77,305,66,73,33,123,19,8,33,53,89,31,314,23,96,35,79,50,0,36,61,98,553,649,77,98,0,9,33,173,0,0,40
"Lactococcus",0,0,4,0,0,0,0,347,0,0,0,0,0,0,304,16,0,0,85,0,0,0,0,0,0,0,299,0,0,0,0,91,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"Unclassified_Comamonadaceae",0,0,140,118,83,46,113,42,0,37,0,122,44,0,113,0,0,0,26,0,0,0,0,0,0,38,0,0,42,0,0,0,0,38,40,80,58,520,0,0,94,10,0,98,55,0,20
"Brevundimonas",0,12,41,0,137,116,200,63,0,0,23,14,0,0,76,136,51,83,26,11,0,0,0,15,23,0,14,40,23,0,28,23,4,7,34,113,52,593,100,0,59,6,41,266,23,9,477
"Burkholderia-Caballeronia-Paraburkholderia",68,0,85,35,518,351,263,0,0,0,119,187,13,205,221,155,41,105,177,235,21,78,55,18,10,56,0,36,43,0,136,104,0,60,0,25,42,0,45,80,29,0,0,0,43,15,0
"Novosphingobium",0,0,360,249,62,0,102,0,0,84,0,19,42,0,19,219,47,0,0,0,0,15,0,0,55,38,60,47,36,0,0,14,0,0,73,59,0,110,490,69,148,0,20,185,124,56,114
"Duganella",0,75,0,131,0,0,305,77,0,0,0,20,0,94,0,0,0,0,0,0,0,0,9,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
"Flavobacterium",0,0,3,36,0,22,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,10,0,0,24,201,0,60,2,0,0,640,0,0,0
"Pseudactinotalea",0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,14,0,26,0,0,0,0,0,435,0,14,0,0,0,0,0,0,0,0,0,0
"Streptomyces",0,0,0,0,0,52,0,0,262,0,0,0,0,0,0,0,0,104,79,0,119,52,0,12,0,0,0,0,14,11,0,18,0,69,884,58,71,176,11,24,0,0,0,26,0,0,0
"Paenibacillus",0,0,0,0,0,0,0,0,109,200,0,0,0,0,10,81,0,187,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,18,7,0,0,0,26,0,0,9,591,32,0,0
"Escherichia-Shigella",0,0,0,0,127,78,87,0,30,0,0,0,0,0,0,103,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Unclassified_Staphylococcaceae",0,0,0,0,0,71,83,0,0,0,0,0,0,0,76,0,33,28,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,54,0,0,0,13,0,0,0,0,0,0,0
"Aquabacterium",0,43,9,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,60,0,0,0,0,0,0,0,0,0,49,0,0,0,28,0,0,0,68,0,0,0
"Piscinibacter",0,0,0,24,0,0,68,0,0,0,0,13,0,0,0,0,0,0,0,66,0,0,0,25,0,19,0,0,0,0,0,43,0,0,0,25,0,0,0,0,35,0,0,0,0,0,0
"Thermomonas",6,0,0,0,0,31,113,0,0,0,0,0,0,0,0,0,0,49,209,0,0,17,0,0,0,0,0,0,0,0,22,0,13,0,24,66,195,35,0,0,0,0,0,121,0,0,28
"Unclassified_Enterobacteriaceae",0,0,0,26,20,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,187,0,0,0,0
"Macrococcus",52,0,0,0,0,0,230,14,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,11,0,0,0,0,20,0
"Kitasatospora",0,0,0,0,0,0,82,0,0,0,136,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,36,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Lysinibacillus",0,0,0,0,0,95,0,20,0,0,0,0,0,0,44,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Rhizobacter",0,0,0,0,88,0,0,0,0,0,0,16,0,0,0,0,0,0,25,0,0,15,0,10,0,0,0,0,0,0,0,74,0,0,0,0,0,0,35,0,0,0,0,39,0,0,0
"Luteimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,21,0,0,0,0,0,0,0,0,11,0,0,68,0,0,0,0,0,47,0,0,0
"Lysobacter",0,0,31,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
"Leptothrix",0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
"Niabella",0,0,41,0,0,25,0,0,0,0,0,5,26,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
